geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
4143057,Houston,Houston,"Kh'juston,Хьюстон",38.91761,-75.5052,P,PPL,US,,DE,1,,,391,15.0,16,America/New_York,2017-03-09
4143218,Kent Acres,Kent Acres,"Kent Acres,Kent-Ejkers,ken te a ke lei si,kenta ekarsa,knt akrz,knt akrz  dlawyr,kynt akrs,Кент-Ейкерс,كينت أكرس,کنت اکرز,کنت اکرز، دلاویر,کینٹ ایکرز، ڈیلاویئر,केन्ट एकर्स,肯特阿克雷斯",39.13178,-75.52492,P,PPL,US,,DE,1,,,1890,10.0,11,America/New_York,2011-05-14
4143230,Kenton,Kenton,"Grogtown,Grogue Town,Kenton,Lewis Cross Roads,ken dun,kenatana,kntwn,kntwn  dlawr,Кентон,كنتون,کنتون، دلاور,کینٹن، ڈیلاویئر,केनटन,肯顿",39.22761,-75.66298,P,PPL,US,,DE,1,,,265,18.0,19,America/New_York,2017-03-09
4143319,Laurel,Laurel,"Laurel,Laurel Town,Lorel,lao lei er,laurela,lawrl  dlawr,lwryl,Лорел,لارل، ڈیلاویئر,لاورل، دلاور,لوريل,लौरेल,劳雷尔",38.5565,-75.57131,P,PPL,US,,DE,5,,,4075,8.0,9,America/New_York,2026-08-30
4143348,Leipsic,Leipsic,"Fast Landing,Leipsic,Lejpsik,Lipsik,le'ipsika,li pu xi ke,lybsyk,lypsyk  dlawr,Лейпсік,Липсик,ليبسيك,لیپسک، ڈیلاویئر,لیپسیک، دلاور,लेइप्सिक,利普西克",39.24095,-75.51687,P,PPL,US,,DE,1,,,196,2.0,3,America/New_York,2017-03-09
4143354,Lewes,Lewes,"Fort Oplandt,Hoornkill,L'juis,Lewes,Lewes Creek,Lewes Town,Lewestown,Lewis,Lewis Town,Lewistown,Luis,Swanendael,Swanendale,Swansdak,Swansdale,Whoore Kill,Zwaanendael,liu yi si,livija,lu yi si,lwys,lwz  dlawr,ruisu,Луис,Льюис,Льюїс,لوز، دلاور,لويس,لیوئس، ڈیلاویئر,लीवीज,ルイス,刘易斯,劉易斯,路易斯",38.77456,-75.13935,P,PPL,US,,DE,5,,,3010,4.0,6,America/New_York,2017-03-09
4143408,Little Creek,Little Creek,"Bayview,Litl Krik,Littl-Krik,Little Creek,Little Creek Landing,litala krika,lytl kryk,lytl kryk  dlawr,xiao xi,Литл Крик,Літтл-Крік,ليتل كريك,لٹل کریک، ڈیلاویئر,لیتل کریک، دلاور,लिटल क्रीक,小溪",39.16706,-75.44825,P,PPL,US,,DE,1,,,233,3.0,2,America/New_York,2017-03-09
4143459,Long Neck,Long Neck,"Long Neck,Long-Nek,lang nei ke,lang nk,langa neka,lanq nk  dlawyr,lwngh nyk,Лонг-Нек,لانق نک، دلاویر,لانگ نک,لونغ نيك,लङ्ग नेक,朗內克",38.62011,-75.15074,P,PPL,US,,DE,5,,,1980,4.0,6,America/New_York,2026-08-30
4143506,Magnolia,Magnolia,"Magnolija,ma ge nuo li ya,maghnwlya,mgnwlya  dlawr,myagnoliya,Магнолија,Магнолія,ماغنوليا,منگولیا، ڈیلاویئر,مگنولیا، دلاور,म्याग्नोलिया,马格诺利亚",39.07122,-75.47603,P,PPL,US,,DE,1,,,234,8.0,11,America/New_York,2017-03-09
4143637,Middletown,Middletown,"Middle Town,Middleton,Middletown,Midltaun,mi de er dui,midalata'una,midorutaun,mydltawn  dlawr,myldtawn,Мидлтаун,ميلدتاون,مڈل ٹاؤن، ڈیلاویئر,میدلتاون، دلاور,मिडलटाउन,ミドルタウン,米德尔敦",39.44956,-75.71632,P,PPL,US,,DE,3,,,20372,21.0,21,America/New_York,2026-08-30
